Ordinal,Type,Added,AST
5,LINE,22,767
4,AST,22,767
5,LINE,5,123
5,LINE,6,414
4,AST,4,414
5,LINE,8,973
5,LINE,4,176
5,LINE,2,1
4,AST,1,1
5,LINE,45,307
4,AST,21,307
5,LINE,2,316
5,LINE,15,7400
5,LINE,18,586
4,AST,11,586
5,LINE,6,173
4,AST,3,173
5,LINE,2,60
5,LINE,21,27
4,AST,16,27
5,LINE,11,93
4,AST,2,93
5,LINE,1,116
4,AST,1,116
5,LINE,4,175
4,AST,4,175
5,LINE,14,92
5,LINE,6,399
4,AST,4,399
5,LINE,4,441
4,AST,2,441
5,LINE,2,275
4,AST,2,275
5,LINE,2,84
5,LINE,4,29
5,LINE,7,263
4,AST,7,263
5,LINE,13,144
4,AST,10,144
5,LINE,9,268
4,AST,10,268
5,LINE,318,248
5,LINE,2,816
4,AST,2,816
5,LINE,12,547
4,AST,20,547
5,LINE,2,204
4,AST,2,204
5,LINE,1,472
5,LINE,4,345
4,AST,4,345
5,LINE,41,132
5,LINE,32,748
4,AST,16,748
5,LINE,49,657
4,AST,44,657
5,LINE,3,425
4,AST,1,425
5,LINE,93,119
4,AST,55,119
5,LINE,12,309
4,AST,8,309
5,LINE,13,76
4,AST,7,76
5,LINE,6,333
4,AST,1,333
5,LINE,118,2679
4,AST,60,2679
5,LINE,1,110
4,AST,1,110
5,LINE,2,43
5,LINE,19,366
4,AST,7,366
5,LINE,42,405
5,LINE,9,31
4,AST,6,31
5,LINE,109,94
5,LINE,6,384
4,AST,6,384
5,LINE,31,74
4,AST,12,74
5,LINE,25,196
4,AST,2,196
5,LINE,6,360
4,AST,4,360
5,LINE,2,505
5,LINE,112,77
4,AST,68,77
5,LINE,2,396
4,AST,2,396
5,LINE,28,132
4,AST,12,132
5,LINE,35,835
5,LINE,11,70
4,AST,18,70
5,LINE,6,62
5,LINE,5,52
5,LINE,19,44
4,AST,12,44
5,LINE,3,45
4,AST,1,45
5,LINE,56,48
4,AST,47,48
5,LINE,3,423
4,AST,2,423
5,LINE,6,329
4,AST,3,329
5,LINE,2,423
4,AST,2,423
5,LINE,27,657
4,AST,24,657
5,LINE,9,116
4,AST,2,116
5,LINE,2,113
5,LINE,5,120
4,AST,6,120
5,LINE,36,123
5,LINE,21,1236
4,AST,16,1236
5,LINE,10,73
5,LINE,9,1092
4,AST,656,1092
5,LINE,15,15
4,AST,7,15
5,LINE,8,361
4,AST,4,361
5,LINE,18,210
4,AST,10,210
5,LINE,14,172
5,LINE,10,40
4,AST,7,40
5,LINE,2,323
5,LINE,1,473
4,AST,1,473
5,LINE,2,735
4,AST,2,735
5,LINE,7,1531
4,AST,3,1531
5,LINE,30,1417
4,AST,10,1417
5,LINE,8,86
4,AST,4,86
5,LINE,19,410
4,AST,6,410
5,LINE,50,1833
4,AST,56,1833
5,LINE,41,1277
4,AST,35,1277
5,LINE,28,81
4,AST,19,81
5,LINE,2,1224
4,AST,2,1224
5,LINE,4,139
5,LINE,15,283
4,AST,8,283
5,LINE,11,100
5,LINE,4,621
4,AST,3,621
5,LINE,2,180
4,AST,1,180
5,LINE,8,1054
5,LINE,3,229
4,AST,2,229
5,LINE,1,122
4,AST,5,122
5,LINE,2,51
5,LINE,33,272
4,AST,25,272
5,LINE,77,556
4,AST,33,556
5,LINE,8,410
5,LINE,4,167
4,AST,4,167
5,LINE,4,46
5,LINE,6,4
5,LINE,7,373
4,AST,4,373
5,LINE,8,41
4,AST,4,41
5,LINE,1,2928
4,AST,5,2928
