Ordinal,Type,Added,AST
3,VALUE,17,2
0,MULTI,4,4
3,VALUE,4,4
0,MULTI,242,9
2,VAR,3,9
3,VALUE,242,9
0,MULTI,2,145
2,VAR,2,145
3,VALUE,2,145
0,MULTI,2,2
2,VAR,2,2
3,VALUE,2,2
0,MULTI,18,33
1,CONTROL,12,33
2,VAR,3,33
3,VALUE,8,33
0,MULTI,4,82
2,VAR,4,82
3,VALUE,4,82
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,2,2
2,VAR,2,2
3,VALUE,2,2
0,MULTI,1,5
2,VAR,1,5
3,VALUE,1,5
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,52,2
1,CONTROL,50,2
3,VALUE,2,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,14,17
1,CONTROL,2,17
3,VALUE,14,17
0,MULTI,256,6
2,VAR,32,6
3,VALUE,224,6
0,MULTI,7,132
2,VAR,7,132
3,VALUE,3,132
0,MULTI,13,2
1,CONTROL,13,2
3,VALUE,1,2
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,11,8
1,CONTROL,8,8
2,VAR,8,8
0,MULTI,2,64
3,VALUE,2,64
0,MULTI,22,0
3,VALUE,22,0
0,MULTI,87,247
1,CONTROL,87,247
0,MULTI,1,7
3,VALUE,1,7
0,MULTI,18,26
1,CONTROL,6,26
2,VAR,7,26
3,VALUE,9,26
0,MULTI,14,4
3,VALUE,14,4
0,MULTI,1,10
3,VALUE,1,10
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,2,4
2,VAR,2,4
3,VALUE,2,4
0,MULTI,2,36
3,VALUE,2,36
0,MULTI,2,2
2,VAR,2,2
3,VALUE,2,2
0,MULTI,2,6
3,VALUE,2,6
0,MULTI,8,18
3,VALUE,8,18
0,MULTI,30,6
1,CONTROL,10,6
2,VAR,5,6
3,VALUE,24,6
0,MULTI,7,74
1,CONTROL,4,74
2,VAR,2,74
3,VALUE,4,74
0,MULTI,12,156
2,VAR,12,156
3,VALUE,12,156
0,MULTI,1,8
3,VALUE,1,8
0,MULTI,16,69
1,CONTROL,10,69
2,VAR,1,69
3,VALUE,11,69
0,MULTI,1,9
2,VAR,1,9
3,VALUE,1,9
0,MULTI,2,38
2,VAR,2,38
3,VALUE,2,38
0,MULTI,8,7
3,VALUE,8,7
0,MULTI,4,160
2,VAR,4,160
3,VALUE,2,160
0,MULTI,49,32
1,CONTROL,49,32
0,MULTI,3,1
3,VALUE,3,1
0,MULTI,14,2
3,VALUE,14,2
0,MULTI,316,13
1,CONTROL,316,13
0,MULTI,7,36
1,CONTROL,6,36
2,VAR,1,36
3,VALUE,1,36
0,MULTI,17,8
1,CONTROL,14,8
3,VALUE,7,8
0,MULTI,1,6
3,VALUE,1,6
0,MULTI,7,139
2,VAR,7,139
3,VALUE,7,139
0,MULTI,4,2
2,VAR,4,2
3,VALUE,4,2
0,MULTI,6,0
3,VALUE,6,0
0,MULTI,2,17
2,VAR,2,17
3,VALUE,2,17
0,MULTI,2,12
2,VAR,2,12
3,VALUE,2,12
0,MULTI,3,9
1,CONTROL,3,9
0,MULTI,87,3
2,VAR,3,3
3,VALUE,85,3
0,MULTI,80,103
1,CONTROL,78,103
2,VAR,2,103
3,VALUE,20,103
0,MULTI,2,6
2,VAR,2,6
3,VALUE,2,6
0,MULTI,12,7
3,VALUE,12,7
0,MULTI,1,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,24,4
1,CONTROL,23,4
3,VALUE,3,4
0,MULTI,2,471
2,VAR,2,471
3,VALUE,1,471
0,MULTI,36,19
1,CONTROL,28,19
3,VALUE,8,19
0,MULTI,5,0
3,VALUE,5,0
0,MULTI,6,0
3,VALUE,6,0
0,MULTI,4,3
2,VAR,2,3
3,VALUE,3,3
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,4,3
1,CONTROL,4,3
0,MULTI,55,32
1,CONTROL,51,32
2,VAR,2,32
3,VALUE,26,32
0,MULTI,8,2
3,VALUE,8,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,7,144
3,VALUE,7,144
0,MULTI,4,2
1,CONTROL,3,2
3,VALUE,1,2
0,MULTI,5,3
2,VAR,1,3
3,VALUE,5,3
0,MULTI,4,8
2,VAR,4,8
3,VALUE,4,8
0,MULTI,2,5
2,VAR,2,5
3,VALUE,2,5
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,7,4
1,CONTROL,7,4
0,MULTI,10,3
3,VALUE,10,3
0,MULTI,8,6
1,CONTROL,8,6
2,VAR,1,6
3,VALUE,2,6
0,MULTI,8,61
1,CONTROL,4,61
2,VAR,2,61
3,VALUE,4,61
0,MULTI,1,11
3,VALUE,1,11
0,MULTI,199,29
1,CONTROL,199,29
0,MULTI,7,0
2,VAR,2,0
3,VALUE,7,0
0,MULTI,63,11
2,VAR,2,11
